 num     #instances         #bytes  class name
 111:          2523          80736  net.java.sezpoz.impl.SerAnnotatedElement
 112:          1988          79520  sun.reflect.generics.repository.MethodRepository
 113:          3272          78528  sun.reflect.annotation.AnnotationInvocationHandler
 114:          2391          76512  java.io.File
 115:          2379          76128  java.util.Vector
 116:          3126          75024  org.codehaus.groovy.util.SingleKeyHashMap
 117:          2226          71232  org.eclipse.jetty.servlet.ServletHandler$CachedChain
 118:           881          70480  org.apache.commons.jelly.tags.core.CoreTagLibrary$3
 119:          2852          69944  [Lorg.codehaus.groovy.reflection.CachedClass;
 120:          4270          68320  com.google.common.cache.LocalCache$StrongValueReference
 121:          2788          66912  sun.reflect.generics.factory.CoreReflectionFactory
 122:          1173          65688  org.codehaus.groovy.reflection.GeneratedMetaMethod$Proxy
 123:          1142          63952  net.sf.uadetector.internal.data.domain.Robot
 124:          1990          63680  sun.reflect.generics.tree.MethodTypeSignature
 125:          3863          61808  java.util.concurrent.locks.ReentrantLock
 126:          1906          60992  java.util.regex.Pattern$Curly
 127:          1903          60896  org.codehaus.groovy.util.ReferenceType$WeakRef
 128:          1266          60768  java.util.logging.LogManager$LoggerWeakRef
 129:           754          60320  org.apache.commons.jelly.tags.core.CoreTagLibrary$1
 130:          2499          59976  java.util.concurrent.CopyOnWriteArrayList
 131:          2449          58776  org.apache.commons.beanutils.DynaProperty
 132:          1217          58416  com.google.inject.internal.ConstructorBindingImpl
 133:          1803          57696  org.jenkinsci.plugins.workflow.job.WorkflowRun$SCMCheckout
 134:          1789          57248  com.thoughtworks.xstream.converters.reflection.FieldKey
 135:          2256          54144  java.lang.Class$AnnotationData
 136:           950          53200  java.lang.Package
 137:           580          51040  org.codehaus.groovy.ast.MethodNode
 138:          1260          50400  com.google.inject.internal.SingletonScope$1
 139:           290          50232  [Ljava.beans.MethodDescriptor;
 140:          1562          49984  java.lang.StackTraceElement
 141:          1219          48760  com.google.inject.internal.MembersInjectorImpl
 142:          1504          48128  org.apache.commons.jexl.parser.ASTExpressionExpression
 143:          1988          47712  sun.reflect.generics.scope.MethodScope
 144:           584          46720  org.apache.commons.jelly.tags.core.CoreTagLibrary$2
 145:          2779          46272  [Lsun.reflect.generics.tree.FormalTypeParameter;
 146:           639          46008  sun.reflect.DelegatingClassLoader
 147:           631          45432  java.util.logging.Logger
 148:          2833          45328  java.util.HashSet
 149:          1397          44704  org.codehaus.groovy.runtime.metaclass.MetaMethodIndex$Header
 150:          1726          44584  [Ljava.lang.reflect.Field;
 151:           786          44016  org.codehaus.groovy.reflection.ClassInfo
 152:          1311          41952  com.google.inject.Key
 153:          1308          41824  [Lcom.google.common.cache.LocalCache$Segment;
 154:           741          41496  java.lang.invoke.MemberName
 155:           864          41472  org.apache.commons.beanutils.converters.ArrayConverter
 156:           738          41328  sun.nio.cs.UTF_8$Encoder
 157:          1031          41240  java.math.BigInteger
 158:          1263          40416  com.google.inject.spi.ElementSource
 159:          1261          40352  com.google.inject.spi.InjectionPoint
 160:          1260          40320  com.google.inject.internal.CycleDetectingLock$CycleDetectingLockFactory$ReentrantCycleDetectingLock
 161:          1257          40224  java.util.LinkedList
 162:          2496          39936  java.util.jar.Attributes
 163:           816          39168  htmlpublisher.HtmlPublisherTarget
 164:          1222          39104  org.apache.commons.jexl.parser.ASTMethod
 165:          1217          38944  com.google.inject.internal.ConstructorBindingImpl$Factory
 166:          1217          38944  com.google.inject.internal.ConstructorInjector
 167:          1193          38176  sun.security.util.DerInputBuffer
 168:          1193          38176  sun.security.util.DerValue
 169:           475          38000  java.net.URI
 170:           946          37840  com.google.common.util.concurrent.AbstractFuture$Sync
 171:           786          37728  org.codehaus.groovy.reflection.ClassInfo$LazyCachedClassRef
 172:           786          37728  org.codehaus.groovy.reflection.ClassInfo$LazyClassLoaderRef
 173:           941          37640  jenkins.model.lazy.BuildReference$DefaultHolderFactory$SoftHolder
 174:          1511          36264  java.util.regex.Pattern$SliceI
 175:           503          36216  org.codehaus.groovy.ast.Parameter
 176:          2241          35856  org.apache.commons.jelly.impl.DefaultTagFactory
 177:          1118          35776  org.kohsuke.stapler.Function$OverridingInstanceFunction
 178:          1466          35184  java.util.LinkedList$Node
 179:          1463          35112  java.util.regex.Pattern$BitClass
 180:          1990          33352  [Lsun.reflect.generics.tree.TypeSignature;
 181:          2055          32880  java.util.TreeSet
 182:          1019          32608  com.google.inject.spi.Dependency
 183:           679          32592  java.util.zip.Inflater
 184:          1015          32480  java.util.concurrent.ConcurrentSkipListMap$HeadIndex
 185:          1333          31992  com.google.inject.TypeLiteral
 186:          1311          31464  com.google.common.base.Suppliers$MemoizingSupplier
 187:           786          31440  org.codehaus.groovy.reflection.GroovyClassValuePreJava7$EntryWithValue
 188:          1957          31312  org.codehaus.groovy.ast.ClassNode$MapOfLists
 189:           977          31264  org.apache.commons.jexl.parser.ASTStringLiteral
 190:          1292          31008  org.codehaus.groovy.reflection.CachedField
 191:          1283          30792  java.util.regex.Pattern$5
 192:           641          30768  org.codehaus.groovy.reflection.CachedClass$1
 193:           641          30768  org.codehaus.groovy.reflection.CachedClass$2
 194:           641          30768  org.codehaus.groovy.reflection.CachedClass$3
 195:           641          30768  org.codehaus.groovy.reflection.CachedClass$4
 196:           641          30768  org.codehaus.groovy.reflection.CachedClass$5
 197:           641          30768  org.codehaus.groovy.reflection.CachedClass$6
 198:           641          30768  org.codehaus.groovy.reflection.CachedClass$7
 199:           641          30768  org.codehaus.groovy.reflection.CachedClass$8
 200:          1262          30288  com.google.inject.internal.ProvisionListenerStackCallback
