Name	Maven ID	Lizenz
Pure Java - COM bridge	org.kohsuke.jinterop:j-interop:2.0.6-kohsuke-1	LGPL v3
embedded_su for Java	com.sun.solaris:embedded_su4j:1.1	MIT license
json-lib	org.kohsuke.stapler:json-lib:2.4-jenkins-2	The Apache Software License, Version 2.0
jaxen	jaxen:jaxen:1.1-beta-11	BSD License
SLF4J API Module	org.slf4j:slf4j-api:1.7.7	MIT License
JmDNS	org.jenkins-ci:jmdns:3.4.0-jenkins-3	Apache License, Version 2.0
XStream Core	org.jvnet.hudson:xstream:1.4.7-jenkins-1	BSD style
Type arithmetic library for Java5	org.jvnet:tiger-types:1.3	CDDL
Constant Pool Scanner	org.jenkins-ci:constant-pool-scanner:1.2	NetBeans CDDL/GPL
jnr-x86asm	com.github.jnr:jnr-x86asm:1.0.2	MIT License
Commons JEXL	org.jenkins-ci:commons-jexl:1.1-jenkins-20111212	The Apache Software License, Version 2.0
Google Guice - Core Library	com.google.inject:guice:4.0-beta	The Apache Software License, Version 2.0
Bytecode transformation-based library for managing backward compatibility	org.jenkins-ci:bytecode-compatibility-transformer:1.5	The MIT license
Spring Framework: JDBC	org.springframework:spring-jdbc:1.2.9	The Apache Software License, Version 2.0
Windows slave installer	org.jenkins-ci.modules:windows-slave-installer:1.4	MIT License
Robust HTTP client library	org.jvnet.robust-http-client:robust-http-client:1.2	MIT license
AOP alliance	aopalliance:aopalliance:1.0	Public Domain
Commons Codec	commons-codec:commons-codec:1.8	The Apache Software License, Version 2.0
jfreechart	jfree:jfreechart:1.0.9	GNU Lesser General Public Licence
commons-jelly-tags-define	org.jvnet.hudson:commons-jelly-tags-define:1.0.1-hudson-20071021	The Apache Software License, Version 2.0
FindBugs-jsr305	com.google.code.findbugs:jsr305:1.3.9	The Apache Software License, Version 2.0
jffi	com.github.jnr:jffi:1.2.7	The Apache Software License, Version 2.0
Winstone	org.jenkins-ci:winstone:2.4	GNU Lesser General Public License version 2.1
COMMON DEVELOPMENT AND DISTRIBUTION LICENSE (CDDL) Version 1.0
AntLR	antlr:antlr:2.7.6	BSD License
Spring Framework: Context Support	org.springframework:spring-context-support:2.5.6.SEC03	The Apache Software License, Version 2.0
JavaMail API (compat)	javax.mail:mail:1.4.4	CDDL
GPLv2+CE
ezmorph	net.sf.ezmorph:ezmorph:1.0.6	The Apache Software License, Version 2.0
Hamcrest Core	org.hamcrest:hamcrest-core:1.3	New BSD License
windows-package-checker	org.kohsuke:windows-package-checker:1.0	MIT license
Commons Collections	commons-collections:commons-collections:3.2.1	The Apache Software License, Version 2.0
Stapler JRebel module	org.kohsuke.stapler:stapler-jrebel:1.229	2-clause BSD license
Jenkins core	org.jenkins-ci.main:jenkins-core:1.583	The MIT license
Ganymed SSH2 for Java	org.jenkins-ci:trilead-ssh2:build217-jenkins-5	BSD style license
