Have a non-directory at the top, so creating directory top_dir
Adding /cygdrive/c/depot/jenkinsci/BUILDING.TXT to top_dir
Adding /cygdrive/c/depot/jenkinsci/LICENSE.txt to top_dir
Adding /cygdrive/c/depot/jenkinsci/README.md to top_dir
Adding /cygdrive/c/depot/jenkinsci/assembly-src.xml to top_dir
Adding /cygdrive/c/depot/jenkinsci/changelog.html to top_dir
Creating filelist for cli
Creating filelist for core
Creating filelist for debian
Adding /cygdrive/c/depot/jenkinsci/dummy.keystore to top_dir
Creating filelist for ebuild
Creating filelist for ips
Adding /cygdrive/c/depot/jenkinsci/licenseCompleter.groovy to top_dir
Creating filelist for maven-plugin
Creating filelist for msi
Creating filelist for opensuse
Creating filelist for osx
Creating filelist for plugins
Adding /cygdrive/c/depot/jenkinsci/pom.xml to top_dir
Adding /cygdrive/c/depot/jenkinsci/rc.changelog.rb to top_dir
Creating filelist for rpm
Adding /cygdrive/c/depot/jenkinsci/show-pom-version.rb to top_dir
Creating filelist for test
Adding /cygdrive/c/depot/jenkinsci/todo.txt to top_dir
Adding /cygdrive/c/depot/jenkinsci/translation-tool.pl to top_dir
40	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/console/ConsoleAnnotationDescriptor.java
107	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/console/ConsoleAnnotationOutputStream.java
57	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/console/ConsoleAnnotator.java
47	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/console/ConsoleAnnotatorFactory.java
13	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/console/ConsoleLogFilter.java
126	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/console/ConsoleNote.java
35	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/console/ExpandableDetailsNote.java
58	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/console/HudsonExceptionNote.java
38	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/console/HyperlinkNote.java
48	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/console/LineTransformationOutputStream.java
1	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/console/package-info.java
41	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/console/PlainTextConsoleOutputStream.java
30	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/console/UrlAnnotator.java
11	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/CopyOnWrite.java
56	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/DependencyRunner.java
124	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/DescriptorExtensionList.java
33	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/diagnosis/HudsonHomeDiskUsageChecker.java
57	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/diagnosis/HudsonHomeDiskUsageMonitor.java
61	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/diagnosis/MemoryUsageMonitor.java
50	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/diagnosis/NullIdDescriptorMonitor.java
190	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/diagnosis/OldDataMonitor.java
32	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/diagnosis/ReverseProxySetupMonitor.java
23	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/diagnosis/TooManyJobsButNoView.java
45	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/DNSMultiCast.java
100	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/EnvVars.java
106	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/ExpressionFactory2.java
15	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/Extension.java
33	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/ExtensionComponent.java
258	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/ExtensionFinder.java
157	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/ExtensionList.java
94	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/ExtensionListView.java
10	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/ExtensionPoint.java
10	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/FeedAdapter.java
1210	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/FilePath.java
62	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/FileSystemProvisioner.java
7	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/FileSystemProvisionerDescriptor.java
89	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/fsp/WorkspaceSnapshotSCM.java
963	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/Functions.java
13	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/Indenter.java
30	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/init/impl/GroovyInitScript.java
18	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/init/impl/InitialUserContent.java
22	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/init/Initializer.java
128	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/init/InitializerFinder.java
29	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/init/InitMilestone.java
5	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/init/InitReactorListener.java
58	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/init/InitStrategy.java
2	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/init/package-info.java
551	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/Launcher.java
11	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/LauncherDecorator.java
102	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/lifecycle/Lifecycle.java
9	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/lifecycle/RestartNotSupportedException.java
12	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/lifecycle/SolarisSMFLifecycle.java
44	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/lifecycle/UnixLifecycle.java
169	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/lifecycle/WindowsInstallerLink.java
76	java	core	/cygdrive/c/depot/jenkinsci/core/src/main/java/hudson/lifecycle/WindowsServiceLifecycle.java
