System Properties;;
;;
handy-uri-templates-2-api;2.1.6-1.0;TRUE
hipchat;02.02.2000;TRUE
http_request;01.08.2022;TRUE
icon-shim;2.0.3;TRUE
jackson2-api;2.8.11.3;TRUE
jacoco;3.0.3;TRUE
javadoc;1.4;TRUE
jdk-tool;1.1;TRUE
jquery-detached;01.02.2001;TRUE
jsch;0.1.54.2;TRUE
junit;1.24;TRUE
ldap;1.2;TRUE
mailer;1.21;TRUE
mapdb-api;1.0.9.0;TRUE
matrix-auth;2.3;TRUE
matrix-project;1.13;TRUE
maven-plugin;03.01.2002;TRUE
mercurial;2.4;TRUE
momentjs;01.01.2001;TRUE
multiple-scms;0.6;TRUE
pam-auth;1.4;TRUE
persistent-parameter;1.1;TRUE
pipeline-build-step;2.7;TRUE
pipeline-github-lib;1;TRUE
pipeline-graph-analysis;1.7;TRUE
pipeline-input-step;2.8;TRUE
pipeline-maven;03.05.2011;TRUE
pipeline-milestone-step;01.03.2001;TRUE
pipeline-model-api;01.03.2002;TRUE
pipeline-model-declarative-agent;01.01.2001;TRUE
pipeline-model-definition;01.03.2002;TRUE
pipeline-model-extensions;01.03.2002;TRUE
pipeline-rest-api;2.1;TRUE
pipeline-stage-step;2.3;TRUE
pipeline-stage-tags-metadata;01.03.2002;TRUE
pipeline-stage-view;2.1;TRUE
pipeline-utility-steps;02.01.2000;TRUE
plain-credentials;1.4;TRUE
port-allocator;1.8;TRUE
publish-over;0.22;TRUE
publish-over-ssh;1.19.1;TRUE
resource-disposer;0.12;TRUE
saferestart;0.3;TRUE
scm-api;02.02.2007;TRUE
script-security;1.44;TRUE
simple-theme-plugin;0.5.1;TRUE
ssh-credentials;1.14;TRUE
ssh-slaves;1.28;TRUE
structs;1.14;TRUE
subversion;02.11.2001;TRUE
timestamper;01.08.2010;TRUE
token-macro;2.5;TRUE
unleash;02.03.2000;TRUE
windows-slaves;01.03.2001;TRUE
workflow-aggregator;2.5;TRUE
workflow-api;2.29;TRUE
workflow-basic-steps;2.1;TRUE
workflow-cps;2.54;TRUE
workflow-cps-global-lib;2.1;TRUE
workflow-durable-task-step;2.21;TRUE
workflow-job;2.24;TRUE
workflow-multibranch;2.2;TRUE
workflow-scm-step;2.6;TRUE
workflow-step-api;2.16;TRUE
workflow-support;2.2;TRUE
ws-cleanup;0.34;TRUE
xvfb;01.01.2003;TRUE
